geography,organisation,reference,name,geography,geometry,documentation-url,entry-date,start-date,end-date
centralactiviteszone,local-authority-eng:SWK,,Central Activites Zone,,,,2021-01-04,,
oldsouthernrailwaysandthe,local-authority-eng:SWK,,Old Southern Railways and the Forage,,,,2021-01-04,,
sunrayestate,local-authority-eng:SWK,,Sunray Estate ,,,,2021-01-04,,
changeofuseintowncentres,local-authority-eng:SWK,,Change of Use in Town Centres,,,,2021-01-04,,
llc/art4/0007,local-authority-eng:BUC,AD312,LLC/ART4/0007,,,,2021-01-04,1963-10-12,
llc/art4/0010,local-authority-eng:BUC,AD321,LLC/ART4/0010,,,,2021-01-04,1970-12-05,
llc/art4/0013,local-authority-eng:BUC,AD317,LLC/ART4/0013,,,,2021-01-04,1977-04-02,
llc/art4/0015os3917,local-authority-eng:BUC,AD319,LLC/ART4/0015 OS 3917,,,,2021-01-04,1988-04-08,
llc/art4/0016,local-authority-eng:BUC,AD186731,LLC/ART4/0016,,,,2021-01-04,2004-05-05,
llc/art4/0009,local-authority-eng:BUC,AD314,LLC/ART4/0009,,,,2021-01-04,1968-08-13,
llc/art4/0014,local-authority-eng:BUC,AD318,LLC/ART4/0014,,,,2021-01-04,1980-06-16,
llc/art4/0017,local-authority-eng:BUC,AD285884,LLC/ART4/0017,,,,2021-01-04,2007-08-16,
llc/art4/0003,local-authority-eng:BUC,AD320,LLC/ART4/0003,,,,2021-01-04,1959-04-17,
llc/art4/0012,local-authority-eng:BUC,AD316,LLC/ART4/0012,,,,2021-01-04,1975-11-19,
llc/art4/0018,local-authority-eng:BUC,AD287247,LLC/ART4/0018,,,,2021-01-04,2007-09-21,
llc/art4/0002,local-authority-eng:BUC,AD308,LLC/ART4/0002,,,,2021-01-04,1958-12-23,
llc/art4/0008,local-authority-eng:BUC,AD313,LLC/ART4/0008,,,,2021-01-04,1976-02-25,
llc/art4/0005,local-authority-eng:BUC,AD310,LLC/ART4/0005,,,,2021-01-04,1959-03-25,
llc/art4/0019,local-authority-eng:BUC,AD390975,LLC/ART4/0019,,,,2021-01-04,2010-05-26,
llc/art4/0019,local-authority-eng:BUC,AD390975,LLC/ART4/0019,,,,2021-01-04,2010-05-26,
llc/art4/0006,local-authority-eng:BUC,AD311,LLC/ART4/0006,,,,2021-01-04,1959-11-27,
llc/art4/0011,local-authority-eng:BUC,AD315,LLC/ART4/0011,,,,2021-01-04,1974-08-28,
llc/art4/0004,local-authority-eng:BUC,AD309,LLC/ART4/0004,,,,2021-01-04,1959-04-29,
llc/art4/0001,local-authority-eng:BUC,AD307,LLC/ART4/0001,,,,2021-01-04,1958-10-29,
,local-authority-eng:BUC,AD30,,,,,,,
,local-authority-eng:BUC,AD28,,,,,,,
,local-authority-eng:BUC,AD31,,,,,,,
,local-authority-eng:BUC,AD39,,,,,,,
